id,category,name,name2,difficulty,level,type,type2,image,description,,,,resource
1,Vinyasa Yoga,Chair Pose ,Utkatasana,beginner,1,Stretch,"Forward-Bend, Stretch, Strength, Balance",chair.jpg,This pose is one of the first pose in the Sun Salutation B series. It needs ample strength with the quadricep muscles to help your hips get the right support and give the knees a comfort to hold the pose for long.,,,,https://www.doyou.com/vinyasa-yoga-poses/
2,Vinyasa Yoga,3-legged Downward Facing Dog,Tri Pada Adho Mukha Svanasana,intermediate,2,Balance,"Inversion, Forward-Bend, Stretch, Strength, Balance",three-legged-dog.jpg,"The most important part of the practice of Vasisthasana (Side Plank Pose) apart from strengthening the arms and shoulders or engaging the core muscles is learning to align the body, especially the spine.",,,,
3,Vinyasa Yoga,Standing Forward Bend,Uttanasana,beginner,1,Balance,"Forward-Bend, Stretch, Inversion",standing-forward-bend.jpg,"In this yoga pose, the spine is given a deliberate and intense stretch. It also brings an indirect opening of the hamstring muscles.",,,,
4,Hatha Yoga,Downward Facing Dog,Adho Mukha Svanasana,beginner,1,Strength,"Inversion, Forward-Bend, Stretch, Strength",downward-dog.jpg,This variation of the Downward Facing Dog Pose helps to build hip and leg flexibility while also strengthening the upper body. The main focus is keeping the shoulders aligned while opening the hips as well as being aware of the entire body.,,,,https://www.inneryogatraining.com/hatha-yoga-poses/
5,Hatha Yoga,Warrior II Pose,Virabhadrasana II,beginner,1,Stretch,"Stretch, Strength, Balance",warrior-two.jpg,"This pose is considered as a difficult pose as the body alignment needs to be accurate, but is generally categorized as an Intermediate Level Pose or Beginner Level Pose. It is said that the power of this pose can be felt only if one is extremely flexible and stable with their body balance.",,,,
6,Hatha Yoga,Tree Pose,Vrksasana,beginner,1,Strength,"Balance, Stretch, Strength",tree.jpg,"Vrksasana is a deceptively challenging pose. While at first glance tree pose may seem easy, the combination of strength, balance, and flexibility required can take lots of practice.",,,,https://shwaasa.org/yoga/4-hatha-yoga-poses-for-the-advanced-hatha-yogis
7,Ashtanga Yoga,Boat Pose,(Navasana),intermediate,1,Strength,"Forward-Bend, Strength, Balance",boat.jpg,"The arms and the legs are balanced in the air using the core strength. As simple as this yoga pose may look, it requires tremendous abdominal strength and great focus on the balance to get this pose right to reap all its benefits.",,,,https://www.cram.com/flashcards/ashtanga-yoga-primary-series-asana-names-7186758
8,Ashtanga Yoga,Half-Bound Lotus Forward Bend,(Ardha Baddha Padmottanasana),advanced,3,Balance,"Forward-Bend, Stretch, Inversion, Balance",half-bound-lotus.jpg,"Ardha Baddha Padmottanasa is very challenging, particularly the transition into the forward bend. It requires a lot of flexibility, strength and mental focus to do well.",,,,
9,Ashtanga Yoga,Deaf Man's Pose ,(Karnapidasana),advanced,3,Stretch,"Inversion, Stretch",deaf-man.jpg,Deaf Man’s pose calms the mind by activating the parasympathetic nervous system; it lets your body know you can rest and relax.,,,,
10,Iyengar Yoga,Revolved Triangle Pose,(Parivrtta Trikonasana),intermediate,2,Stretch,"Twist, Side-Bend, Stretch",revolved-triangle.jpg,"Parivrtta Trikonasana is a powerful standing intermediate level yoga pose which emphasises on balance along with deep twist to the spine. To master this yoga pose, importance should be given to alignment.",,,,https://www.tummee.com/yoga-sequences/iyengar-yoga-sequence-intermediate
11,Iyengar Yoga,Warrior Pose III ,(Virabhadrasana III),intermediate,2,Balance,"Balance, Forward-Bend, Stretch, Strength, Balance",warrior-three.jpg,"Warrior III adds a balance challenge to the standing Warrior sequence of yoga poses. It's an energizing pose that can help you build lower body and core strength, but also mental focus.",,,,
12,Iyengar Yoga,Supported Headstand,(Salamba Sirsasana),advanced,3,Balance,"Inversion, Strength, Balance",supported-headstand.jpg,"The practice of this yoga pose helps in developing immunity. In this yoga pose the body is completely inverted, and held upright supported by the forearms, while the crown of the head rests lightly on the floor.",,,,https://yogaselection.com/iyengar-yoga-practice-sequence/
13,Bikram Yoga,Eagle Pose ,(Garudasana),advanced,3,Strength,"Stretch, Twist, Strength, Balance",eagle.jpg,"Eagle Pose is a standing balance pose that requires and develops focus, strength, and serenity. Using your breath and your gaze in this posture will help release distractions, allowing stability in the pose.",,,,https://www.doyou.com/the-26-poses-of-bikram-yoga-64644/
